,nickname,text,score,like,dislike,time,watch_movie
2858,hill****,너무기대를했나? 지루함이..,7,4,2,2013-06-20 20:10:00,0
2859,드라고(pang****),초중반까지는 재밌음그러나 중반 이후 스토리의 취약 및 급전개가 아쉬움,6,4,2,2013-06-20 19:42:00,0
2860,wsle****,책을 무시한 영화,6,4,2,2013-06-20 19:37:00,0
2861,천련화(phil****),"난 잼있던데.. 결말이 좀더 구체적이었으면 나을것 같긴함. 하지만 맨오브스틸,은밀보다 잼있게 본 듯",10,4,2,2013-06-20 19:13:00,0
2862,티티카카(xfac****),시간가는 줄 모르고 재밌게 봤습니다. 원작소설의 소재만 빌려왔더군요. 그런점에서 다소 아쉽구요. 잔인하거나 징그러운 장면을 별로 나오지 않기 때문에 가족과 함께 봐도 무리는 없을것 같군요ㅎㅎ,7,4,2,2013-06-20 18:55:00,0
2863,sunday afternoon(flzk****),기!승!전!!!!!!!!!!!!!ㅇㅇ?????? 인 영화.잘 때리다가 마지막 결정적 한 방이 빚맞은 느낌. 게임처럼 미션클리어!->이동->이동하는 느낌.그래도 좀비가 어디에서 달려들까? 같은 긴장감이 있다...,7,4,2,2013-06-20 16:41:00,0
2864,장동욱(jdw0****),은밀하게 위대하보단 나음 할러,10,4,2,2013-06-20 15:46:00,0
2865,애애애(dkfq****),긴장감최고 몰입감최고,10,4,2,2013-06-20 14:58:00,0
2866,rine****,손발이오그라드는스토리 브래드는 이영허 왜찍었나 했더니 지가제작이야,5,4,2,2013-06-20 14:05:00,0
2867,swar****,중반까지는 몰입도 최고 후반은 나가리,7,4,2,2013-06-20 11:18:00,0
2868,maki****,은위 빠순이 들을 한방에 날려버린영화~,10,4,2,2013-06-20 11:14:00,0
2869,Utopia(saeo****),좀비 영화계의 한획을 그은 명작,10,5,3,2020-03-29 16:19:00,관람객
2870,mixc****,재미없음..,1,5,3,2013-09-04 04:04:00,0
2871,민영모(alsd****),그냥 보통.  좀비들한테 폭탄 터트리고 그러는 걸 바랐는데 좀비들 물량빼곤 그닥,7,5,3,2013-07-20 22:46:00,0
