,nickname,text,score,like,dislike,time,watch_movie
121,Suarez(curb****),현재까지 만들어진 좀비영화중 Top에 속하는 최고의 명작!~,10,2,0,2019-06-16 21:31:00,0
122,형(oper****),내가 좋아하는 유일한 좀비물 3가지ㅡ28일후ㅡ28주후ㅡ새벽의저주,10,2,0,2019-06-10 02:36:00,0
123,김검사(fhlr****),좀비영화의 교과서...,10,2,0,2019-04-10 23:42:00,0
124,gyhdegvj(whib****),좀비(라고 부르긴 하지만 사실은 분노바이러스에 감염된 사람들) 영화인데 생각보다 좀비는 별로 안나옴..왜냐면 사회의 안전망이 무너졌을 때 진짜로 무서운 건 좀비가 아니라 사람이니까..,10,2,0,2019-04-07 23:43:00,0
125,가이아(edgo****),군더더기 없이 좋은 영화,10,2,0,2019-04-06 01:47:00,0
126,voon(golm****),무섭고 긴장감 넘치고 스릴있고 몰입되는 잘 만든 좀비 영화의 정석이다. 내가 이걸로 초딩때 좀비영화에 입문했던 걸로 기억한다.,10,2,0,2019-02-09 09:09:00,0
127,miro****,우중충한 화면에 집중이 뽝 되네요,10,2,0,2018-02-10 04:07:00,0
128,ㅃㅋ(fuck****),좀비영화계의 클래식임,10,2,0,2017-07-19 01:34:00,0
129,rhkd****,역시 인간이 제일 무섭죠...,9,2,0,2017-06-29 20:47:00,0
130,닥광(ssau****),"작품성, 영상미, 각본등등 2002년도 영화임에도 불구하고 여러 하고많은 좀비영화들과는 단독적인 차별화를 두고 있다.마치 의도 되지 않은듯 영화에 모든 요소들이 교묘하게 어울어져 좀비영화에 걸맞는 어둡고 습한 분위기...",10,2,0,2017-06-16 22:23:00,0
131,맥스박(craz****),???컴터 포멧 5번 해도  지금도 소장하고 있는 몇 안되는 영환데 7점 대? 28일 후는 단순한 영화가 아니라 인류의 유산임.,10,2,0,2016-08-27 17:28:00,0
132,0223****,ㅋㅋㅋ음악이 예상외로 너무 좋네요,9,2,0,2016-07-31 12:54:00,0
133,9회말2아웃(pora****),잼있음. 킬리언머피 굿굿~~,10,2,0,2016-07-23 01:22:00,0
134,아뿔싸(sil5****),이 영화는 좀비에 관한 이야기가 아니고 폐쇄된 공간 속 인간에 관한 영화다!,8,2,0,2015-04-05 11:33:00,0
135,고수맘(core****),최고의 걸작 별 10 개도모자람,10,2,0,2014-06-14 09:20:00,0
136,괴도 K(dyki****),누가 뭐래도 나에겐 최고의 좀비영화,7,3,1,2020-02-29 17:55:00,0
137,mone****,좀비영화의 어머니격 영화죠 최고입니다..28일후 28주후 그다음 28달후가 나온다고 했는데 아직도 제작이 안돼고 있다는 ㅠㅠ 제작사는 각성하라 각성하라...,10,3,1,2020-02-28 02:12:00,0
138,왕따거부(meta****),단순한 좀비 영화가 아니라 예술 영화의 느낌,8,3,1,2018-08-23 21:47:00,0
139,luff****,남주 첨엔 약꼴에 개소심쟁이로 나오다가 갑자기 후반부에 만렙헌터로 돌변하는게좀 억지스러웠지만 나름 잼씀,9,3,1,2017-10-13 03:19:00,0
140,오아시스(oasi****),좀비 영화는 28일후 이전 과 이후로 극명하게 달라짐!,10,3,1,2017-09-24 03:13:00,0
141,wehrmacht(woon****),현대 좀비영화의 아버지격인데 평점이 왜 7점대냐?,10,3,1,2017-08-26 16:04:00,0
